serial,100,161
atomic,100,143186
optimistic,100,1
serial,100,148
atomic,100,133908
optimistic,100,1
serial,100,149
atomic,100,141314
optimistic,100,1
serial,500,148
atomic,500,149022
optimistic,500,5
serial,500,141
atomic,500,132620
optimistic,500,5
serial,500,132
atomic,500,146005
optimistic,500,5
serial,1000,137
atomic,1000,146037
optimistic,1000,10
serial,1000,132
atomic,1000,143170
optimistic,1000,10
serial,1000,133
atomic,1000,133597
optimistic,1000,10
serial,5000,143
atomic,5000,143390
optimistic,5000,51
serial,5000,131
atomic,5000,133665
optimistic,5000,51
serial,5000,135
atomic,5000,133547
optimistic,5000,51
serial,10000,143
atomic,10000,132822
optimistic,10000,104
serial,10000,133
atomic,10000,133234
optimistic,10000,103
serial,10000,132
atomic,10000,146086
optimistic,10000,100
serial,100000,133
atomic,100000,149867
optimistic,100000,1046
serial,100000,134
atomic,100000,133339
optimistic,100000,1046
serial,100000,132
atomic,100000,132918
optimistic,100000,1043
serial,500000,138
atomic,500000,143875
optimistic,500000,5068
serial,500000,133
atomic,500000,134439
optimistic,500000,5128
serial,500000,136
atomic,500000,146233
optimistic,500000,5126
